,Varsta,Sex,Micro,progn,T,Ghr muc/HPF,Ghr muc/5HPF,Ghr,Ghrelin rank,Hp_rk,Inflam,Distributie,mucoasa,HP,mono,neutro,Atrofie,Metaplazie,pleomorfism,AM,CD117,DOG1,CD34,GRPI,GRPP,Scor perif,GRCI,GRCC,Scor centru,Scor total (Allred dublu)
HP,-0.04977239691468088,0.23305541089199885,0.005426001736346155,0.008934241409452912,-0.013206769593600107,0.18618529057069086,0.20369166438022082,0.20369166438022082,-0.20369166438022082,-1.0,-0.091057914813853,-0.2015467785227604,-0.15731639415469437,1.0,0.091057914813853,0.41704485249652273,0.20769670732253184,-0.05328401388554507,0.011915260412032249,-0.1007768970459597,-0.021460381126176133,-0.24332029181117742,-0.13884988901016668,0.08106517752297714,0.16425273752100988,0.0905712663004354,0.07929026049732056,0.06487673237380162,0.06551575202747369,0.06757813822910505
mono,0.03094995502707333,0.0950300183886271,0.20844125389991888,-0.034568032952670365,0.1532974179632726,-0.19781895559611623,-0.2278207351618492,-0.2278207351618492,0.2278207351618492,-0.091057914813853,-1.0,0.0820598522759869,0.1515313055807548,0.091057914813853,1.0,0.14569150491191327,0.5686468793778481,0.13829669334998632,-0.03387091611283875,-0.10283662512776484,-0.06100435439415493,0.14742420168964462,-0.1207369884174786,0.09006360768959927,0.11152916112653177,0.0837104584837716,-0.041961735754751914,0.005976634004630378,-0.010105957441423709,0.061990039294384194
neutro,0.00504356277224002,0.08130130652846716,0.11216541576080957,0.028970536386689234,0.1565782149215673,0.013416267414184415,0.008311647444670158,0.008311647444670158,-0.008311647444670158,-0.41704485249652273,-0.14569150491191327,0.08315178097265603,-0.011252659634262963,0.41704485249652273,0.14569150491191327,1.0,0.18140571840467534,-0.11268320963531983,0.0372570207962461,0.04477559443162881,0.007455890254874901,0.10241831129983783,-0.24296505379447209,-0.17546255986388026,-0.027548929686896713,-0.11555019944648817,-0.06154224887031351,-0.022790293962590184,-0.03705419573012201,-0.06119367419785435
Atrofie,0.013829193609521152,0.12859786745735896,0.2804983271893504,0.08004174940682837,0.1190712753121686,-0.09906191696907132,-0.15779112723204336,-0.15779112723204336,0.15779112723204336,-0.20769670732253184,-0.5686468793778481,0.01642773782584176,0.11487371854435038,0.20769670732253184,0.5686468793778481,0.18140571840467534,1.0,0.31072025272129433,0.07105011865455273,-0.05441461172222729,0.011034745181364906,-0.05889740024499614,-0.0609291875112593,-0.019238369655729694,0.08993938109515928,-0.0027002506117630464,-0.05368256013085652,0.19442170081452456,0.07926926013822488,0.027493506127457636
Metaplazie,-0.029922302887769876,0.0712028714792898,0.28053357009193586,-0.08951851966742548,0.0456531664247568,0.023215395604545132,-0.011505923523827104,-0.011505923523827104,0.011505923523827104,0.05328401388554507,-0.13829669334998632,-0.2574786682891525,0.13630054907489636,-0.05328401388554507,0.13829669334998632,-0.11268320963531983,0.31072025272129433,1.0,0.15759145970458652,0.032622867247042504,0.003686174115717629,0.10127073097464924,0.14658874800808755,0.07992536809967712,0.19238425476943977,0.1303226551360803,-0.008113690413132596,0.3206894235956095,0.1373962858658676,0.12101601829576455
pleomorfism,-0.014656833601216486,0.3611486447243549,0.11983751461557558,-0.12233824264260729,-0.01604250397632279,0.01705738650723838,0.0772929385356066,0.0772929385356066,-0.0772929385356066,-0.011915260412032249,0.03387091611283875,0.07630832695881014,-0.31883245653218223,0.011915260412032249,-0.03387091611283875,0.0372570207962461,0.07105011865455273,0.15759145970458652,1.0,0.3287242350984533,0.05687632688291248,0.2232243675098462,-0.01795088178392981,-0.09453249612596591,0.06504753255666618,-0.019675452089969483,-0.07898974514501085,0.0815134517872113,0.0659547701517521,0.002540453305581101
AM,0.08900020876831267,0.08070002078437538,-0.04911876448723067,-0.055415742077245145,0.05147463839041225,0.0443901459646007,0.12375264620792222,0.12375264620792222,-0.12375264620792222,0.1007768970459597,0.10283662512776484,0.2715026629790538,-0.22804268340325642,-0.1007768970459597,-0.10283662512776484,0.04477559443162881,-0.05441461172222729,0.032622867247042504,0.3287242350984533,1.0,0.009250935259013151,0.17884778999621992,0.10218988991416096,-0.07990710748437024,0.004272685022790464,-0.0418161102828859,-0.018665501728894855,0.10875837594101245,0.07662531547904598,0.008677299981836285
CD117,0.08799394622474244,-0.08510677611520903,0.08345712505367366,-0.009477050014166157,-0.04990763193396527,0.16458096718146026,0.09353242457702561,0.09353242457702561,-0.09353242457702561,0.021460381126176133,0.06100435439415493,0.0028632850559705382,-0.3239324764862165,-0.021460381126176133,-0.06100435439415493,0.007455890254874901,0.011034745181364906,0.003686174115717629,0.05687632688291248,0.009250935259013151,1.0,-0.07445291969126747,0.14010117465793875,0.20379718149565307,0.18925208014401473,0.17009825158500452,0.25500713994667873,0.3073887725664915,0.3103087293219257,0.2310662345118775
DOG1,0.033575956834390845,-0.009278370237815069,0.013177173713829024,-0.1663437957821981,0.04410030998617748,-0.13397196661951144,-0.13943718986696715,-0.13943718986696715,0.13943718986696715,0.24332029181117742,-0.14742420168964462,-0.08740377225340612,0.11236664374387369,-0.24332029181117742,0.14742420168964462,0.10241831129983783,-0.05889740024499614,0.10127073097464924,0.2232243675098462,0.17884778999621992,-0.07445291969126747,1.0,0.31252705510589024,-0.07087273321617378,0.06877442463084207,0.025240676322371678,-0.07784270705571449,0.16105589609560092,0.1332054881791718,0.09777070326779651
CD34,-0.11664236870396084,0.14101901870444156,0.15576998991028307,-0.05757820899171134,-0.00870476211109701,0.05332898492121269,0.05286140564295799,0.05286140564295799,-0.05286140564295799,0.13884988901016668,0.1207369884174786,-0.19293752863552074,-0.02439750182371333,-0.13884988901016668,-0.1207369884174786,-0.24296505379447209,-0.0609291875112593,0.14658874800808755,-0.01795088178392981,0.10218988991416096,0.14010117465793875,0.31252705510589024,1.0,0.20232601162686778,0.2737640079972598,0.27401790517588337,0.16901524545696156,0.2483313604462512,0.2999330581270256,0.2805177725625999
GRPI,0.06049522415321272,0.28451444306404317,0.14914765894846316,-0.1516084804068445,-0.11112922682314387,0.026691386005707845,0.03220896069226663,0.03220896069226663,-0.03220896069226663,-0.08106517752297714,-0.09006360768959927,-0.009085331541737535,-0.10317456153062407,0.08106517752297714,0.09006360768959927,-0.17546255986388026,-0.019238369655729694,0.07992536809967712,-0.09453249612596591,-0.07990710748437024,0.20379718149565307,-0.07087273321617378,0.20232601162686778,1.0,0.6898662244091213,0.8695639686430574,0.6941647200071628,0.5155812031728713,0.6461591564908914,0.8081956693432573
GRPP,0.03962530765419318,0.2934050814092004,0.13158786887032675,-0.21010173880343483,-0.11646618030109959,0.02533807353252802,0.025115913704205628,0.025115913704205628,-0.025115913704205628,-0.16425273752100988,-0.11152916112653177,-0.027771485960494422,-0.04420388127117089,0.16425273752100988,0.11152916112653177,-0.027548929686896713,0.08993938109515928,0.19238425476943977,0.06504753255666618,0.004272685022790464,0.18925208014401473,0.06877442463084207,0.2737640079972598,0.6898662244091213,1.0,0.857640212762107,0.5083090342417356,0.6388747900355578,0.66509809660221,0.831582004027886
Scor perif,0.06285879180312433,0.29735735966707266,0.1351942966032644,-0.1973616841025693,-0.10685967840742668,0.028694808130778786,0.021069049656634135,0.021069049656634135,-0.021069049656634135,-0.0905712663004354,-0.0837104584837716,-0.0041601314696276,-0.06952766434909069,0.0905712663004354,0.0837104584837716,-0.11555019944648817,-0.0027002506117630464,0.1303226551360803,-0.019675452089969483,-0.0418161102828859,0.17009825158500452,0.025240676322371678,0.27401790517588337,0.8695639686430574,0.857640212762107,1.0,0.5915089850897258,0.5932608281071688,0.6645408286717948,0.8952569234015781
GRCI,-0.00121052956175675,0.28099460787034497,0.12035429979206821,0.019556315563620363,-0.08817100555390865,0.12196137634135047,0.137649352673787,0.137649352673787,-0.137649352673787,-0.07929026049732056,0.041961735754751914,-0.056721758119540354,-0.13368982377427846,0.07929026049732056,-0.041961735754751914,-0.06154224887031351,-0.05368256013085652,-0.008113690413132596,-0.07898974514501085,-0.018665501728894855,0.25500713994667873,-0.07784270705571449,0.16901524545696156,0.6941647200071628,0.5083090342417356,0.5915089850897258,1.0,0.4923006459485383,0.7644009910294188,0.6772982993859086
GRCC,0.04344893715889175,0.1801000016417279,0.23818540890811724,-0.11475918872804694,-0.08646661669638808,0.004127769156374763,-0.053190508712546394,-0.053190508712546394,0.053190508712546394,-0.06487673237380162,-0.005976634004630378,-0.15349933608225927,-0.039814083098734396,0.06487673237380162,0.005976634004630378,-0.022790293962590184,0.19442170081452456,0.3206894235956095,0.0815134517872113,0.10875837594101245,0.3073887725664915,0.16105589609560092,0.2483313604462512,0.5155812031728713,0.6388747900355578,0.5932608281071688,0.4923006459485383,1.0,0.7740889375335445,0.6982273775798427
Scor centru,-0.025145398565901814,0.276436306883552,0.21167278398534656,-0.09066544359789518,-0.11226637457073234,0.04689479986171789,0.014053191795546326,0.014053191795546326,-0.014053191795546326,-0.06551575202747369,0.010105957441423709,-0.1010324348943365,-0.08964081232491378,0.06551575202747369,-0.010105957441423709,-0.03705419573012201,0.07926926013822488,0.1373962858658676,0.0659547701517521,0.07662531547904598,0.3103087293219257,0.1332054881791718,0.2999330581270256,0.6461591564908914,0.66509809660221,0.6645408286717948,0.7644009910294188,0.7740889375335445,1.0,0.836817612032297
Scor total (Allred dublu),0.022697836252748353,0.28367963467282087,0.1754598479760638,-0.1600090871938547,-0.11580043492502336,0.029845943949031763,0.016322350287321378,0.016322350287321378,-0.016322350287321378,-0.06757813822910505,-0.061990039294384194,-0.010742949839567108,-0.06560310424514913,0.06757813822910505,0.061990039294384194,-0.06119367419785435,0.027493506127457636,0.12101601829576455,0.002540453305581101,0.008677299981836285,0.2310662345118775,0.09777070326779651,0.2805177725625999,0.8081956693432573,0.831582004027886,0.8952569234015781,0.6772982993859086,0.6982273775798427,0.836817612032297,1.0
