,Varsta,Sex,Micro,progn,T,Ghr muc/HPF,Ghr muc/5HPF,Ghr,Ghrelin rank,Hp_rk,Inflam,Distributie,mucoasa,HP,mono,neutro,Atrofie,Metaplazie,pleomorfism,AM,CD117,DOG1,CD34,GRPI,GRPP,Scor perif,GRCI,GRCC,Scor centru,Scor total (Allred dublu)
Inflam,-0.04804666924474354,-0.10313830829284838,-0.23686602580958324,0.045474934495616,-0.18071691842404716,0.26344707921717847,0.29118845233267815,0.29118845233267815,-0.29118845233267815,0.10218686916802575,1.0,-0.09073411699688262,-0.1644604807618989,-0.10218686916802575,-1.0,-0.16008381539808872,-0.6374116795704372,-0.1552560975266597,0.04331834750658835,0.11161100172419654,0.06620945694211845,-0.16000294455918282,0.13103868593213133,-0.10533241326094478,-0.14011339338081616,-0.09602043837903429,0.04647192697965727,-0.006533709904362938,0.009367684022371196,-0.07521071224540679
Distributie,-0.08452154537635759,0.12403635180908477,-0.003050858109659533,-0.00901430276133655,-0.04599341840931474,-0.013910861488291947,0.03190713426426236,0.03190713426426236,-0.03190713426426236,0.2144172885348435,-0.09073411699688262,1.0,-0.2802527645341318,-0.2144172885348435,0.09073411699688262,0.0905384553910777,0.01758170089292397,-0.27451722449359645,0.08230179333033805,0.2817239177632161,0.0029710790855230853,-0.0906942601458504,-0.2002010435343135,-0.011721180920284204,-0.04366918018398674,-0.013710269211844078,-0.0675719000289037,-0.18063052524601272,-0.11770216494656367,-0.020408071118920446
mucoasa,0.22257084506834177,-0.08257228238447704,0.20954181400080643,-0.06674639317201159,0.01904067458828066,-0.586163248229794,-0.6551212769280259,-0.6551212769280259,0.6551212769280259,0.1632870338857884,-0.1644604807618989,-0.2802527645341318,1.0,-0.1632870338857884,0.1644604807618989,-0.011492173621672912,0.12197665372285052,0.14056137093179416,-0.3350400318962953,-0.22804268340325645,-0.32393247648621654,0.11236664374387367,-0.02439750182371333,-0.11168720311665732,-0.05189163706165011,-0.07874356322495141,-0.14144168708218702,-0.04611885909683909,-0.09990795549896006,-0.07607200480903939
HP,-0.05784810360741246,0.24190057864005898,0.006828383536827553,0.011099008153617754,-0.01331901429278934,0.23169988143636897,0.24936279807352865,0.24936279807352865,-0.24936279807352865,-1.0,-0.10218686916802575,-0.2144172885348435,-0.1632870338857884,1.0,0.10218686916802575,0.44748593161054373,0.22592236690896605,-0.05407023956821618,0.012188955807461014,-0.10460168942511447,-0.02227486842029992,-0.25255504327796136,-0.14411966822444805,0.09452951318636547,0.20261241837091143,0.10961890372958424,0.08687025451723254,0.06515281262651341,0.0737985333723397,0.08257778819277534
mono,0.04804666924474354,0.10313830829284838,0.23686602580958324,-0.045474934495616,0.18071691842404716,-0.26344707921717847,-0.29118845233267815,-0.29118845233267815,0.29118845233267815,-0.10218686916802575,-1.0,0.09073411699688262,0.1644604807618989,0.10218686916802575,1.0,0.16008381539808872,0.6374116795704372,0.1552560975266597,-0.04331834750658835,-0.11161100172419654,-0.06620945694211845,0.16000294455918282,-0.13103868593213133,0.10533241326094478,0.14011339338081616,0.09602043837903429,-0.04647192697965727,0.006533709904362938,-0.009367684022371196,0.07521071224540679
neutro,0.005585307926977536,0.08303181298126872,0.11503033694348311,0.03188003113080199,0.17067861582899146,0.01938979221384521,0.007990016056896636,0.007990016056896636,-0.007990016056896636,-0.44748593161054373,-0.16008381539808872,0.0905384553910777,-0.011492173621672912,0.44748593161054373,0.16008381539808872,1.0,0.1979443747953189,-0.11829219539341841,0.039259928556375806,0.04572864744394207,0.007614589625750615,0.10459829531433028,-0.2481365893004777,-0.19393497871167195,-0.026297138659246964,-0.12784094225817494,-0.06625566950913685,-0.021956673132094047,-0.039655821910051334,-0.06432212006687558
Atrofie,0.017032851962031217,0.13654940178755756,0.30550760448027653,0.0940360916363476,0.13333085555302998,-0.13184525006318484,-0.2129271634755012,-0.2129271634755012,0.2129271634755012,-0.22592236690896605,-0.6374116795704372,0.01758170089292397,0.12197665372285052,0.22592236690896605,0.6374116795704372,0.1979443747953189,1.0,0.33691778254108923,0.0787042372970863,-0.05777920603260484,0.011717051636903222,-0.06253917680993663,-0.06469659466805007,-0.01861105352740196,0.11075557021212397,-0.003931345700338856,-0.061976316609346625,0.23567289500529698,0.09398369555824318,0.03669355285503823
Metaplazie,-0.046397882927287706,0.07342870808179781,0.2944625597577017,-0.10434663783657068,0.049538026734862226,0.027121563485615955,-0.01515309182993026,-0.01515309182993026,0.01515309182993026,0.05407023956821618,-0.1552560975266597,-0.27451722449359645,0.14056137093179416,-0.05407023956821618,0.1552560975266597,-0.11829219539341841,0.33691778254108923,1.0,0.1691881901001129,0.033642674039783264,0.0038014057222458624,0.10443650357739716,0.15117118399772497,0.09253605264012602,0.24078878725250383,0.14817671076668865,-0.010151507059394776,0.38335483504035006,0.154258273361147,0.14691656278165627
pleomorfism,-0.012391986561361137,0.3795073273399262,0.13102532634013705,-0.140880336822236,-0.01710415682545128,0.019704496994984572,0.09599848929325325,0.09599848929325325,-0.09599848929325325,-0.012188955807461014,0.04331834750658835,0.08230179333033805,-0.3350400318962953,0.012188955807461014,-0.04331834750658835,0.039259928556375806,0.0787042372970863,0.1691881901001129,1.0,0.3454346505696925,0.05976758633753355,0.2345717874020149,-0.018863399513554237,-0.10307119396288586,0.08087941593810027,-0.024570036090287288,-0.0892228868574189,0.1090626394747652,0.07656035394496319,0.006460397880900438
AM,0.1065424780898976,0.08070002078437538,-0.05041957466188875,-0.06269142683911721,0.054940686667147444,0.05326465462627894,0.14967278577073628,0.14967278577073628,-0.14967278577073628,0.10460168942511447,0.11161100172419654,0.2817239177632161,-0.22804268340325645,-0.10460168942511447,-0.11161100172419654,0.04572864744394207,-0.05777920603260484,0.033642674039783264,0.3454346505696925,1.0,0.009250935259013151,0.17884778999621995,0.10218988991416098,-0.08650001717160141,0.0050157726902137715,-0.04735883989068633,-0.01974780114324835,0.12598085464346787,0.08540170944933105,0.010062017850268676
